city,segment_id,time_bucket,timestamp,currentSpeed,freeFlowSpeed,jamFactor,confidence,lat,lon,source,provider,segment_name,weather_cell_id,roadClosure,date,dedup_records_collapsed,dedup_duplicate_key_rows
hanoi,HN_001,2026-05-14 15:20:00,2026-05-14 15:23:52.411634,25.0,37.0,3.24,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 15:25:00,2026-05-14 15:28:57.402680,25.0,37.0,3.24,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 15:30:00,2026-05-14 15:34:02.438546,26.0,37.0,2.97,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 15:35:00,2026-05-14 15:39:07.790641,25.0,37.0,3.24,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 15:40:00,2026-05-14 15:44:13.613977,23.0,36.0,3.61,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 15:45:00,2026-05-14 15:49:20.210180,27.0,37.0,2.7,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 15:50:00,2026-05-14 15:54:25.853640,24.0,37.0,3.51,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 15:55:00,2026-05-14 15:59:30.949544,22.0,37.0,4.05,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 16:00:00,2026-05-14 16:04:36.253540,25.0,37.0,3.24,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 16:05:00,2026-05-14 16:09:41.291522,24.0,37.0,3.51,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 16:10:00,2026-05-14 16:14:46.433539,24.0,36.0,3.33,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 16:15:00,2026-05-14 16:19:51.547632,21.0,36.0,4.17,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 16:20:00,2026-05-14 16:24:56.732543,22.0,37.0,4.05,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 16:30:00,2026-05-14 16:30:02.217562,22.0,37.0,4.05,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 16:35:00,2026-05-14 16:35:08.012746,21.0,36.0,4.17,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 16:40:00,2026-05-14 16:40:13.238838,22.0,36.0,3.89,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 16:45:00,2026-05-14 16:45:18.466542,20.0,36.0,4.44,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 16:50:00,2026-05-14 16:50:23.739167,21.0,36.0,4.17,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 16:55:00,2026-05-14 16:55:29.010543,22.0,37.0,4.05,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 17:00:00,2026-05-14 17:00:34.140542,24.0,37.0,3.51,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 17:05:00,2026-05-14 17:05:39.784530,23.0,37.0,3.78,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 17:10:00,2026-05-14 17:10:46.493526,22.0,36.0,3.89,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 17:15:00,2026-05-14 17:15:53.002084,20.0,36.0,4.44,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 17:20:00,2026-05-14 17:20:59.391555,21.0,36.0,4.17,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
