city,segment_id,time_bucket,timestamp,currentSpeed,freeFlowSpeed,jamFactor,confidence,lat,lon,date,hour_of_day,day_of_week,day_of_month,is_weekend,is_peak_hour,congestion_ratio,speed_lag_1,congestion_lag_1,speed_lag_2,congestion_lag_2,speed_lag_3,congestion_lag_3,speed_lag_4,congestion_lag_4,speed_lag_5,congestion_lag_5,speed_lag_6,congestion_lag_6,speed_lag_7,congestion_lag_7,speed_lag_8,congestion_lag_8,speed_lag_9,congestion_lag_9,speed_lag_10,congestion_lag_10,speed_lag_11,congestion_lag_11,speed_lag_12,congestion_lag_12,speed_trend_1,speed_trend_2,speed_acceleration,speed_rolling_avg_15m,speed_rolling_avg_30m,speed_rolling_avg_60m,congestion_rolling_avg_15m,congestion_rolling_avg_30m,congestion_rolling_avg_60m,speed_volatility_15m,speed_volatility_30m,weather_temperature,weather_humidity,weather_rain_1h,weather_wind_speed,has_rain,weather_severity,has_accident,has_any_event,news_event_count_1h,news_event_count_3h,news_event_count_6h,accident_count_1h,max_event_severity_1h,max_event_severity_6h,avg_traffic_relevance_score_6h,has_recent_accident,target_speed,split
hanoi,HN_005,2026-05-14 13:30:00,2026-05-14 13:31:57.279624,28.0,34.0,1.76,1.0,20.9901,105.833,2026-05-14,13,3,14,0,0,0.17647058823529416,25.0,0.2857142857142857,26.0,0.23529411764705888,25.0,0.2647058823529411,26.0,0.23529411764705888,26.0,0.23529411764705888,26.0,0.2571428571428571,27.0,0.22857142857142854,25.0,0.2647058823529411,23.0,0.34285714285714286,25.0,0.2647058823529411,25.0,0.2857142857142857,25.0,0.24242424242424243,-1.0,1.0,-2.0,25.333333333333332,25.666666666666668,25.333333333333332,0.2619047619047619,0.2522408963585434,0.26186868686868686,0.5773502691896258,0.5163977794943222,36.35,38.0,0.0,1.78,0,0,1,1,1,1,1,1,3,3,0.95,1,27.0,train
hanoi,HN_002,2026-05-14 13:30:00,2026-05-14 13:31:57.279624,26.0,36.0,2.78,1.0,20.9842,105.8412,2026-05-14,13,3,14,0,0,0.2777777777777778,28.0,0.2432432432432432,26.0,0.29729729729729726,28.0,0.2432432432432432,28.0,0.2222222222222222,28.0,0.2432432432432432,28.0,0.2222222222222222,28.0,0.2222222222222222,28.0,0.2222222222222222,28.0,0.2222222222222222,25.0,0.3055555555555556,27.0,0.2702702702702703,27.0,0.25,2.0,-2.0,4.0,27.333333333333332,27.666666666666668,27.416666666666668,0.2612612612612612,0.24524524524524524,0.24699699699699704,1.1547005383792515,0.816496580927726,36.35,38.0,0.0,1.78,0,0,1,1,1,1,1,1,3,3,0.95,1,28.0,train
hanoi,HN_003,2026-05-14 13:30:00,2026-05-14 13:31:57.279624,29.0,36.0,1.94,1.0,21.0285,105.7934,2026-05-14,13,3,14,0,0,0.19444444444444442,29.0,0.21621621621621623,29.0,0.19444444444444442,30.0,0.18918918918918914,29.0,0.21621621621621623,29.0,0.21621621621621623,29.0,0.21621621621621623,29.0,0.19444444444444442,29.0,0.21621621621621623,28.0,0.2432432432432432,29.0,0.21621621621621623,28.0,0.2432432432432432,27.0,0.2702702702702703,0.0,-1.0,1.0,29.333333333333332,29.166666666666668,28.75,0.19994994994994994,0.2080830830830831,0.21934434434434436,0.5773502691896258,0.40824829046386296,36.309999999999995,41.666666666666664,0.0,1.15,0,0,1,1,1,1,1,1,3,3,0.95,1,27.0,train
hanoi,HN_001,2026-05-14 13:30:00,2026-05-14 13:31:57.279624,28.0,37.0,2.43,1.0,20.9956,105.822,2026-05-14,13,3,14,0,0,0.2432432432432432,26.0,0.2777777777777778,27.0,0.2702702702702703,28.0,0.2432432432432432,28.0,0.2222222222222222,28.0,0.2432432432432432,27.0,0.2702702702702703,28.0,0.2432432432432432,29.0,0.21621621621621623,28.0,0.2222222222222222,27.0,0.2702702702702703,28.0,0.2222222222222222,25.0,0.3055555555555556,-1.0,-1.0,0.0,27.0,27.333333333333332,27.416666666666668,0.26376376376376376,0.2545045045045045,0.2505630630630631,1.0,0.816496580927726,36.35,38.0,0.0,1.78,0,0,1,1,1,1,1,1,3,3,0.95,1,26.0,train
hanoi,HN_004,2026-05-14 13:30:00,2026-05-14 13:31:57.279624,23.0,32.0,2.81,1.0,21.0128,105.8156,2026-05-14,13,3,14,0,0,0.28125,24.0,0.25,23.0,0.28125,25.0,0.21875,24.0,0.25,25.0,0.21875,23.0,0.28125,27.0,0.15625,26.0,0.1875,22.0,0.3125,23.0,0.28125,32.0,0.0,32.0,0.0,1.0,-2.0,3.0,24.0,24.0,25.5,0.25,0.25,0.203125,1.0,0.8944271909999159,36.35,38.0,0.0,1.78,0,0,1,1,1,1,1,1,3,3,0.95,1,24.0,train
hanoi,HN_004,2026-05-14 13:35:00,2026-05-14 13:37:02.970864,24.0,32.0,2.5,1.0,21.0128,105.8156,2026-05-14,13,3,14,0,0,0.25,23.0,0.28125,24.0,0.25,23.0,0.28125,25.0,0.21875,24.0,0.25,25.0,0.21875,23.0,0.28125,27.0,0.15625,26.0,0.1875,22.0,0.3125,23.0,0.28125,32.0,0.0,-1.0,1.0,-2.0,23.333333333333332,24.0,24.75,0.2708333333333333,0.25,0.2265625,0.5773502691896258,0.8944271909999159,36.35,38.0,0.0,1.78,0,0,1,1,1,1,1,1,3,3,0.95,1,26.0,train
hanoi,HN_005,2026-05-14 13:35:00,2026-05-14 13:37:02.970864,27.0,35.0,2.29,1.0,20.9901,105.833,2026-05-14,13,3,14,0,0,0.22857142857142854,28.0,0.17647058823529416,25.0,0.2857142857142857,26.0,0.23529411764705888,25.0,0.2647058823529411,26.0,0.23529411764705888,26.0,0.23529411764705888,26.0,0.2571428571428571,27.0,0.22857142857142854,25.0,0.2647058823529411,23.0,0.34285714285714286,25.0,0.2647058823529411,25.0,0.2857142857142857,3.0,-1.0,4.0,26.333333333333332,26.0,25.583333333333332,0.2324929971988796,0.23879551820728295,0.2563725490196079,1.5275252316519468,1.0954451150103321,36.35,38.0,0.0,1.78,0,0,1,1,1,1,1,1,3,3,0.95,1,25.0,train
hanoi,HN_001,2026-05-14 13:35:00,2026-05-14 13:37:02.970864,23.0,36.0,3.61,1.0,20.9956,105.822,2026-05-14,13,3,14,0,0,0.36111111111111116,28.0,0.2432432432432432,26.0,0.2777777777777778,27.0,0.2702702702702703,28.0,0.2432432432432432,28.0,0.2222222222222222,28.0,0.2432432432432432,27.0,0.2702702702702703,28.0,0.2432432432432432,29.0,0.21621621621621623,28.0,0.2222222222222222,27.0,0.2702702702702703,28.0,0.2222222222222222,2.0,-1.0,3.0,27.0,27.5,27.666666666666668,0.26376376376376376,0.24999999999999997,0.24537037037037035,1.0,0.8366600265340756,36.35,38.0,0.0,1.78,0,0,1,1,1,1,1,1,3,3,0.95,1,25.0,train
hanoi,HN_002,2026-05-14 13:35:00,2026-05-14 13:37:02.970864,27.0,36.0,2.5,1.0,20.9842,105.8412,2026-05-14,13,3,14,0,0,0.25,26.0,0.2777777777777778,28.0,0.2432432432432432,26.0,0.29729729729729726,28.0,0.2432432432432432,28.0,0.2222222222222222,28.0,0.2432432432432432,28.0,0.2222222222222222,28.0,0.2222222222222222,28.0,0.2222222222222222,28.0,0.2222222222222222,25.0,0.3055555555555556,27.0,0.2702702702702703,-2.0,2.0,-4.0,26.666666666666668,27.333333333333332,27.333333333333332,0.27277277277277273,0.2545045045045045,0.24931181181181183,1.1547005383792515,1.0327955589886446,36.35,38.0,0.0,1.78,0,0,1,1,1,1,1,1,3,3,0.95,1,27.0,train
hanoi,HN_003,2026-05-14 13:35:00,2026-05-14 13:37:02.970864,28.0,37.0,2.43,1.0,21.0285,105.7934,2026-05-14,13,3,14,0,0,0.2432432432432432,29.0,0.19444444444444442,29.0,0.21621621621621623,29.0,0.19444444444444442,30.0,0.18918918918918914,29.0,0.21621621621621623,29.0,0.21621621621621623,29.0,0.21621621621621623,29.0,0.19444444444444442,29.0,0.21621621621621623,28.0,0.2432432432432432,29.0,0.21621621621621623,28.0,0.2432432432432432,0.0,0.0,0.0,29.0,29.166666666666668,28.916666666666668,0.20170170170170168,0.20445445445445443,0.21302552552552548,0.0,0.40824829046386296,36.309999999999995,41.666666666666664,0.0,1.15,0,0,1,1,1,1,1,1,3,3,0.95,1,26.0,train
