horizon,model,slice_column,slice_value,MAE,RMSE,R2,MAPE,n
60m,lightgbm,road_class,gateway_arterial,1.9026098189155003,2.54125174812637,0.507492638138676,4.512964519500631,432
60m,lightgbm,road_class,major_arterial,1.3176413686247044,1.7536698212228845,0.9214505165142628,4.1728686568324616,5616
60m,lightgbm,road_class,urban_arterial,1.338359003308469,1.7638791092977932,0.8225604282725868,4.694381112201271,1296
60m,lightgbm,road_class,urban_expressway,0.6494809581739508,0.8513877025889689,0.6751748464991065,3.844302195320273,432
60m,lightgbm,is_peak_hour,0,1.2516129768298736,1.712341404843899,0.9482746923977942,4.089679854362299,6460
60m,lightgbm,is_peak_hour,1,1.331389948828303,1.7545465138129652,0.9402809874973063,4.673991271160585,2180
60m,lightgbm,rain_flag,0,1.2380905213571276,1.6872880302846331,0.9488226874836647,4.064560033422891,6380
60m,lightgbm,rain_flag,1,1.3667399966850489,1.8203559628683876,0.9431144981401977,4.724221157996674,2260
60m,lightgbm,weather_main,Clear,1.2408406278756288,1.6915674764190445,0.9483674983627661,4.082092737824266,6260
60m,lightgbm,weather_main,Clouds,1.0946266313086466,1.446592614272229,0.9645121483108766,3.149937287151172,120
60m,lightgbm,weather_main,Rain,1.367526068242047,1.8232968943732157,0.943116877135459,4.712645647535989,2080
60m,lightgbm,weather_main,Thunderstorm,1.3576565031375156,1.7860205984248438,0.9423004166219252,4.85798261220904,180
60m,lightgbm,district,unknown,1.2717418887461442,1.7230878929785496,0.9475962869897496,4.237110281285941,8640
60m,lightgbm,segment_id,HCMC_001,1.1966175045486853,1.5515268336160295,0.5216708846596494,3.9759468053124727,432
60m,lightgbm,segment_id,HCMC_002,1.7845952059152386,2.3856034627988176,0.565694548133787,4.287857427923434,432
60m,lightgbm,segment_id,HCMC_003,1.1305372735669819,1.4328614342982962,0.5812683816873055,4.48130920589863,432
60m,lightgbm,segment_id,HCMC_004,1.3735023733985614,1.757210163473329,0.5641111965590955,4.757215275812668,432
60m,lightgbm,segment_id,HCMC_005,1.4628049479323104,1.8644530563196076,0.5199208126300124,4.490480567526502,432
60m,lightgbm,segment_id,HCMC_LIVE_001,0.9468832731574444,1.2407967384982976,0.5269886938987478,4.129617282292952,432
60m,lightgbm,segment_id,HCMC_LIVE_002,1.0999855748259473,1.446935390043256,0.5486213581544059,4.051818630075198,432
60m,lightgbm,segment_id,HCMC_LIVE_003,1.8371634965968284,2.388122858533593,0.5661059375501294,4.264972287284257,432
60m,lightgbm,segment_id,HCMC_LIVE_004,1.4255072984308885,1.8415925062391156,0.5762560455738746,3.856189706689027,432
60m,lightgbm,segment_id,HCMC_LIVE_005,1.9026098189155003,2.54125174812637,0.507492638138676,4.512964519500631,432
60m,lightgbm,segment_id,HN_001,1.3168934808099153,1.797791516060196,0.6327550869225484,4.496479665763134,432
60m,lightgbm,segment_id,HN_002,1.262584673088219,1.621105577913589,0.6843998638421813,4.335544023470588,432
60m,lightgbm,segment_id,HN_003,1.45967544789884,1.9407702799024595,0.640755419851568,5.239386507400081,432
60m,lightgbm,segment_id,HN_004,1.092596614094256,1.4460408217195435,0.7014881330459699,4.353276261677231,432
60m,lightgbm,segment_id,HN_005,1.2432932145737945,1.6385134093309732,0.649057336887322,4.649179597028883,432
60m,lightgbm,segment_id,HN_LIVE_001,0.7914489226294239,1.159646171859243,0.6053206572530301,3.9248857531791352,432
60m,lightgbm,segment_id,HN_LIVE_002,1.2120590146685533,1.5684863645730265,0.7137521344887164,3.7053476272753856,432
60m,lightgbm,segment_id,HN_LIVE_003,0.6494809581739508,0.8513877025889689,0.6751748464991065,3.844302195320273,432
60m,lightgbm,segment_id,HN_LIVE_004,1.204060329951434,1.5351838940623073,0.6930391652044972,3.941296735530115,432
60m,lightgbm,segment_id,HN_LIVE_005,1.0425383517461073,1.480038662406146,0.6654176721301144,3.4441355507582108,432
240m,lightgbm,city,hanoi,1.1492686745459089,1.543188966712909,0.9215208273103402,4.252641947664886,4320
240m,lightgbm,city,hcmc,1.454001412543311,1.930746340651833,0.9416023086149505,4.379254691042529,4320
240m,lightgbm,road_class,cbd_local_arterial,0.8833687603419125,1.1901037995908568,0.7167225936012065,4.07232202729568,864
240m,lightgbm,road_class,gateway_arterial,1.8936271075794517,2.5211896156044133,0.5289499779118235,4.489916102221163,432
240m,lightgbm,road_class,major_arterial,1.3510765391958364,1.7821697251372155,0.9197770807851384,4.2526347095009625,5616
240m,lightgbm,road_class,urban_arterial,1.377659077592056,1.812371200827132,0.8162228856806483,4.8069887918992436,1296
240m,lightgbm,road_class,urban_expressway,0.6753640003068795,0.8713786866282567,0.6655521218508249,3.9791886310513966,432
240m,lightgbm,is_peak_hour,0,1.3093398074158862,1.7542330087947464,0.9471057144778297,4.374658933239598,6460
240m,lightgbm,is_peak_hour,1,1.2788034955590852,1.7283694325984127,0.9443207859482701,4.141970995636806,2180
240m,lightgbm,rain_flag,0,1.2931300864131685,1.7509461720003856,0.9449394661342813,4.280055988039403,6380
240m,lightgbm,rain_flag,1,1.3256446127917763,1.7386699093540245,0.950582754863011,4.4172726882852436,2260
240m,lightgbm,weather_main,Clear,1.2914844991199115,1.7481135880103238,0.9450224320334344,4.2741360569203755,6260
240m,lightgbm,weather_main,Clouds,1.3789748902114076,1.892843413533094,0.9409270999693649,4.588879061415338,120
240m,lightgbm,weather_main,Rain,1.3267006541563242,1.7467440271635202,0.9505316124753229,4.417112574442675,2080
240m,lightgbm,weather_main,Thunderstorm,1.31344146813478,1.6424922336516863,0.9511328833483491,4.41912289268827,180
240m,lightgbm,district,unknown,1.30163504354461,1.7477433477093969,0.9465258154507907,4.3159483193537085,8640
240m,lightgbm,segment_id,HCMC_001,1.24322709579971,1.5851687595233137,0.5169456596641708,4.124708275702509,432
240m,lightgbm,segment_id,HCMC_002,1.9296062777231822,2.4972354621202815,0.5545942994782671,4.604787657212597,432
240m,lightgbm,segment_id,HCMC_003,1.1399142117219985,1.4795694698810116,0.5791097011616259,4.525353471393278,432
240m,lightgbm,segment_id,HCMC_004,1.4568820072111763,1.8185695052975785,0.5541143906673454,5.038354884413131,432
240m,lightgbm,segment_id,HCMC_005,1.5046310119227433,1.9175795261189021,0.5240366012564018,4.618948004846896,432
240m,lightgbm,segment_id,HCMC_LIVE_001,0.9522655941414615,1.237268559248131,0.5461292551786869,4.136668609403226,432
240m,lightgbm,segment_id,HCMC_LIVE_002,1.0742492237740504,1.4342695504804233,0.570573575840815,3.9600849140743035,432
240m,lightgbm,segment_id,HCMC_LIVE_003,1.8995404321121923,2.4455941366224345,0.5634353409714048,4.377473363398736,432
240m,lightgbm,segment_id,HCMC_LIVE_004,1.4460711634471433,1.8520655709556262,0.5808973734664207,3.916251627759461,432
240m,lightgbm,segment_id,HCMC_LIVE_005,1.8936271075794517,2.5211896156044133,0.5289499779118235,4.489916102221163,432
240m,lightgbm,segment_id,HN_001,1.2934033564750647,1.7455245518005722,0.6630270786625236,4.369891944282361,432
240m,lightgbm,segment_id,HN_002,1.2457140721840658,1.6022493387487522,0.7017384195552838,4.2559348989104215,432
240m,lightgbm,segment_id,HN_003,1.4571546908990567,1.9630127552725762,0.6490175200774995,5.192722116516589,432
240m,lightgbm,segment_id,HN_004,1.1711915299543674,1.5243155160299051,0.6761455362174023,4.609296254334247,432
240m,lightgbm,segment_id,HN_005,1.3183867916007357,1.7115747899440514,0.6347178632159045,4.903535103890062,432
240m,lightgbm,segment_id,HN_LIVE_001,0.8144719265423638,1.1409910691575296,0.6251835994174826,4.007975445188134,432
240m,lightgbm,segment_id,HN_LIVE_002,1.2557268591451702,1.5950268985060305,0.7095691881260775,3.8272044204567526,432
240m,lightgbm,segment_id,HN_LIVE_003,0.6753640003068795,0.8713786866282567,0.6655521218508249,3.9791886310513966,432
240m,lightgbm,segment_id,HN_LIVE_004,1.2247604238319023,1.5666809958564765,0.6925959161281525,3.976181925591958,432
240m,lightgbm,segment_id,HN_LIVE_005,1.0365130945194836,1.426203438818581,0.6932035234884585,3.4044887364269436,432
